settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5093,ORD1089,pay_Mm7826gv,7604.18,139.85,25.17,2026-08-31,settled
STL5086,ORD1086,pay_Va5512sf,14261.49,262.28,47.21,2026-08-28,settled
STL5034,ORD1034,pay_vc5242jt,5557.55,0.0,0.0,2026-09-01,settled
STL5095,ORD1090,pay_ci9972eW,1263.09,25.87,4.66,2026-08-27,settled
STL5084,ORD9550,pay_ds9471Ts,5007.16,0.0,0.0,2026-09-01,settled
STL5042,ORD1042,pay_kM9816QC,9127.01,186.95,33.65,2026-08-06,settled
STL5094,ORD1090,pay_AS6584uT,2379.48,48.74,8.77,2026-08-26,settled
STL5003,ORD1003,pay_FY2351GW,8939.29,0.0,0.0,2026-09-03,settled
STL5090,ORD1088,pay_zP7109tK,6582.0,134.82,24.27,2026-08-07,settled
STL5022,ORD1022,pay_LR8726dP,9215.14,0.0,0.0,2026-08-30,settled
STL5020,ORD1020,pay_Gq7631bW,2607.28,0.0,0.0,2026-08-24,settled
STL5030,ORD1030,pay_IW8384EP,13293.31,0.0,0.0,2026-08-16,settled
STL5019,ORD1019,pay_qf1834Ni,6910.47,0.0,0.0,2026-08-10,settled
STL5079,ORD9083,pay_Lj4123EK,4673.46,0.0,0.0,2026-08-15,settled
STL5052,ORD1052,pay_oR7743xx,18174.52,372.28,67.01,2026-08-11,settled
STL5071,ORD1071,pay_bv7885jV,3689.1,67.84,12.21,2026-08-06,settled
STL5098,ORD1092,pay_Gc2895Gh,2043.08,37.57,6.76,2026-08-05,settled
STL5013,ORD1013,pay_og2814mM,8136.18,0.0,0.0,2026-08-07,settled
STL5085,ORD9955,pay_fc6488Fm,1746.03,32.11,5.78,2026-08-30,settled
STL5031,ORD1031,pay_zp7849hA,2314.5,0.0,0.0,2026-08-31,settled
STL5087,ORD1086,pay_dF4680UQ,8076.49,148.53,26.74,2026-08-29,settled
STL5026,ORD1026,pay_hK0978Dg,3589.91,0.0,0.0,2026-09-04,settled
STL5045,ORD1045,pay_TZ6299jA,7607.44,155.83,28.05,2026-08-30,settled
STL5005,ORD1005,pay_OG0341YR,8506.43,0.0,0.0,2026-08-14,settled
