settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5044,ORD1044,pay_ms7791TX,529.88,9.74,1.75,2026-08-12,settled
STL5091,ORD1084,pay_KH2158sB,3292.51,67.44,12.14,2026-08-19,settled
STL5087,ORD1082,pay_Cw0744NG,1170.33,21.52,3.87,2026-08-17,settled
STL5060,ORD1060,pay_Fb5844Iy,1242.39,0.0,0.0,2026-08-12,settled
STL5066,ORD1066,pay_Zg9529wF,3582.3,0.0,0.0,2026-09-01,settled
STL5037,ORD1037,pay_vK5067qx,1998.41,36.75,6.61,2026-08-04,settled
STL5064,ORD1064,pay_ik4296Ce,6622.38,0.0,0.0,2026-08-16,settled
STL5024,ORD1024,pay_Jr5219no,4997.15,0.0,0.0,2026-08-31,settled
STL5026,ORD1026,pay_cZ5762Xn,10705.14,196.87,35.44,2026-09-04,settled
STL5062,ORD1062,pay_wp9326tm,5387.89,0.0,0.0,2026-08-27,settled
STL5065,ORD1065,pay_KV6508Ci,1152.53,0.0,0.0,2026-08-09,settled
STL5068,ORD9952,pay_lV8724gO,714.26,13.14,2.37,2026-08-26,settled
STL5072,ORD9628,pay_UK0930fN,1170.61,17.88,3.22,2026-08-23,settled
STL5052,ORD1052,pay_zd9293MO,11815.28,217.29,39.11,2026-08-22,settled
STL5033,ORD1033,pay_zu4208Ag,974.86,17.93,3.23,2026-08-11,settled
STL5073,ORD9360,pay_EP6643Uc,2868.52,52.75,9.49,2026-08-25,settled
STL5018,ORD1018,pay_DP9610fy,2695.37,0.0,0.0,2026-08-18,settled
STL5042,ORD1042,pay_zE9417tn,6612.05,121.6,21.89,2026-08-23,settled
STL5085,ORD1081,pay_st6252JU,13074.26,267.81,48.2,2026-08-22,settled
STL5010,ORD1010,pay_qW2387ga,2523.09,0.0,0.0,2026-08-18,settled
STL5075,ORD9589,pay_Od8854sG,2889.77,53.14,9.57,2026-08-22,settled
STL5071,ORD9869,pay_CY8401fw,2863.57,43.73,7.87,2026-08-14,settled
STL5011,ORD1011,pay_yS7608Zb,11975.42,0.0,0.0,2026-08-13,settled
STL5090,ORD1083,pay_Sy5956lN,12688.89,233.36,42.01,2026-08-15,settled
STL5059,ORD1059,pay_dJ1523GQ,1646.41,0.0,0.0,2026-08-21,settled
STL5045,ORD1045,pay_zM7112eD,7350.67,135.18,24.33,2026-08-18,settled
STL5000,ORD1000,pay_kn0331Qk,668.53,0.0,0.0,2026-08-12,settled
STL5089,ORD1083,pay_gH2857Yd,7600.54,139.78,25.16,2026-08-14,settled
STL5036,ORD1036,pay_Wv4353no,6590.34,0.0,0.0,2026-08-31,settled
STL5032,ORD1032,pay_YD4305dp,1227.12,22.57,4.06,2026-08-07,settled
STL5067,ORD9099,pay_yW7797wb,5283.82,108.23,19.48,2026-08-28,settled
STL5048,ORD1048,pay_rW3429dy,7867.8,120.14,21.63,2026-08-19,settled
STL5047,ORD1047,pay_Hu1847uj,2890.41,44.14,7.95,2026-08-26,settled
STL5038,ORD1038,pay_sz6844AW,7691.55,117.45,21.14,2026-08-14,settled
STL5007,ORD1007,pay_QM1522pr,12371.94,0.0,0.0,2026-08-15,settled
